Contract,Last,Change,Open,High,Low,Previous,Volume,"Open Int",Time
"NGY00 (Cash)",2.233,0.067,2.233,2.233,2.233,2.166,N/A,N/A,2024-09-10
"NGV24 (Oct '24)",2.232,0,2.236,2.247,2.228,2.232,2125,223835,"23:56 CT"
"NGX24 (Nov '24)",2.536,-0.009,2.538,2.549,2.529,2.545,640,0,"23:49 CT"
"NGZ24 (Dec '24)",3.02,-0.017,3.026,3.033,3.014,3.037,126,0,"23:39 CT"
"NGF25 (Jan '25)",3.308,-0.019,3.316,3.316,3.304,3.327,206,0,"23:39 CT"
"NGG25 (Feb '25)",3.19,-0.019,3.204,3.204,3.19,3.209,13,0,"21:49 CT"
"NGH25 (Mar '25)",2.891,-0.012,2.886,2.891,2.885,2.903,13,0,"23:39 CT"
"NGJ25 (Apr '25)",2.768,-0.017,2.769,2.769,2.768,2.785,14,0,"20:54 CT"
"NGK25 (May '25)",2.822,-0.007,2.822,2.822,2.822,2.829,8,0,"23:39 CT"
"NGM25 (Jun '25)",2.974,-0.008,2.965,3.011,2.959,2.982,3337,29427,2024-09-10
"NGN25 (Jul '25)",3.131,-0.007,3.122,3.168,3.117,3.138,2783,19286,2024-09-10
"NGQ25 (Aug '25)",3.169,-0.002,3.156,3.203,3.152,3.171,1491,17862,2024-09-10
"NGU25 (Sep '25)",3.15,0,3.136,3.182,3.133,3.15,3878,19443,2024-09-10
"NGV25 (Oct '25)",3.22,-0.012,3.22,3.22,3.22,3.232,11,0,"20:13 CT"
"NGX25 (Nov '25)",3.471,-0.009,3.469,3.512,3.465,3.48,3327,16376,2024-09-10
"NGZ25 (Dec '25)",3.836,-0.019,3.85,3.884,3.83,3.855,2557,23182,2024-09-10
"NGF26 (Jan '26)",4.088,-0.026,4.108,4.14,4.075,4.114,4862,39662,2024-09-10
"NGG26 (Feb '26)",3.885,-0.023,3.901,3.937,3.876,3.908,1427,11421,2024-09-10
"NGH26 (Mar '26)",3.38,-0.015,3.387,3.426,3.379,3.395,1565,22512,2024-09-10
"NGJ26 (Apr '26)",3.079,-0.008,3.079,3.116,3.069,3.087,2197,41003,2024-09-10
"NGK26 (May '26)",3.112,-0.008,3.114,3.149,3.103,3.12,784,9922,2024-09-10
"NGM26 (Jun '26)",3.252,-0.009,3.275,3.286,3.242,3.261,256,4608,2024-09-10
"NGN26 (Jul '26)",3.407,-0.004,3.428,3.435,3.389,3.411,162,8301,2024-09-10
"NGQ26 (Aug '26)",3.443,-0.005,3.465,3.47,3.425,3.448,125,3419,2024-09-10
"NGU26 (Sep '26)",3.415,-0.002,3.435,3.44,3.395,3.417,165,4237,2024-09-10
"NGV26 (Oct '26)",3.472,-0.004,3.472,3.505,3.458,3.476,973,20206,2024-09-10
"NGX26 (Nov '26)",3.721,-0.01,3.718,3.721,3.718,3.731,90,5791,2024-09-10
"NGZ26 (Dec '26)",4.092,-0.018,4.09,4.092,4.09,4.11,128,4111,2024-09-10
"NGF27 (Jan '27)",4.347,-0.019,0,4.374,4.347,4.366,510,11256,2024-09-10
"NGG27 (Feb '27)",4.122,-0.017,0,4.122,4.122,4.139,13,1550,2024-09-10
"NGH27 (Mar '27)",3.532,-0.012,3.532,3.532,3.532,3.544,15,4470,2024-09-10
"NGJ27 (Apr '27)",3.072,-0.013,0,3.072,3.072,3.085,6,13307,2024-09-10
"NGK27 (May '27)",3.089,-0.012,0,3.089,3.089,3.101,5,1858,2024-09-10
"NGM27 (Jun '27)",3.217,-0.017,0,3.217,3.217,3.234,5,753,2024-09-10
"NGN27 (Jul '27)",3.349,-0.02,0,3.349,3.349,3.369,0,1583,2024-09-10
"NGQ27 (Aug '27)",3.39,-0.024,0,3.39,3.39,3.414,0,996,2024-09-10
"NGU27 (Sep '27)",3.356,-0.028,0,3.356,3.356,3.384,0,480,2024-09-10
"NGV27 (Oct '27)",3.438,-0.017,3.47,3.47,3.438,3.455,354,6879,2024-09-10
"NGX27 (Nov '27)",3.691,-0.035,0,3.691,3.691,3.726,1,1626,2024-09-10
"NGZ27 (Dec '27)",4.077,-0.038,0,4.077,4.077,4.115,0,459,2024-09-10
"NGF28 (Jan '28)",4.328,-0.046,0,4.328,4.328,4.374,321,6241,2024-09-10
"NGG28 (Feb '28)",4.106,-0.035,0,4.106,4.106,4.141,2,429,2024-09-10
"NGH28 (Mar '28)",3.456,-0.019,3.456,3.456,3.456,3.475,N/A,954,2024-09-10
"NGJ28 (Apr '28)",2.96,-0.02,2.96,2.96,2.96,2.98,2,3237,2024-09-10
"NGK28 (May '28)",2.986,-0.02,0,2.986,2.986,3.006,0,326,2024-09-10
"NGM28 (Jun '28)",3.134,-0.021,3.134,3.134,3.134,3.155,N/A,235,2024-09-10
"NGN28 (Jul '28)",3.303,-0.021,3.303,3.303,3.303,3.324,N/A,239,2024-09-10
"NGQ28 (Aug '28)",3.345,-0.02,3.345,3.345,3.345,3.365,N/A,215,2024-09-10
"NGU28 (Sep '28)",3.317,-0.022,3.317,3.317,3.317,3.339,N/A,131,2024-09-10
"NGV28 (Oct '28)",3.372,-0.023,3.372,3.372,3.372,3.395,70,2055,2024-09-10
"NGX28 (Nov '28)",3.617,-0.027,0,3.617,3.617,3.644,0,152,2024-09-10
"NGZ28 (Dec '28)",3.997,-0.044,0,3.997,3.997,4.041,0,267,2024-09-10
"NGF29 (Jan '29)",4.252,-0.035,4.289,4.289,4.252,4.287,71,3044,2024-09-10
"NGG29 (Feb '29)",3.998,-0.035,0,3.998,3.998,4.033,0,53,2024-09-10
"NGH29 (Mar '29)",3.338,-0.016,3.338,3.338,3.338,3.354,N/A,943,2024-09-10
"NGJ29 (Apr '29)",2.885,-0.016,2.885,2.885,2.885,2.901,N/A,1068,2024-09-10
"NGK29 (May '29)",2.905,-0.016,2.905,2.905,2.905,2.921,N/A,150,2024-09-10
"NGM29 (Jun '29)",3.061,-0.016,0,3.061,3.061,3.077,0,135,2024-09-10
"NGN29 (Jul '29)",3.232,-0.016,0,3.232,3.232,3.248,0,89,2024-09-10
"NGQ29 (Aug '29)",3.281,-0.016,0,3.281,3.281,3.297,0,91,2024-09-10
"NGU29 (Sep '29)",3.255,-0.016,0,3.255,3.255,3.271,0,84,2024-09-10
"NGV29 (Oct '29)",3.334,-0.016,0,3.334,3.334,3.35,0,2202,2024-09-10
"NGX29 (Nov '29)",3.598,-0.016,0,3.598,3.598,3.614,0,56,2024-09-10
"NGZ29 (Dec '29)",3.999,-0.016,0,3.999,3.999,4.015,0,84,2024-09-10
"NGF30 (Jan '30)",4.262,-0.016,0,4.262,4.262,4.278,0,1456,2024-09-10
"NGG30 (Feb '30)",4.024,-0.016,0,4.024,4.024,4.04,0,100,2024-09-10
"NGH30 (Mar '30)",3.356,-0.016,3.356,3.356,3.356,3.372,N/A,128,2024-09-10
"NGJ30 (Apr '30)",2.866,-0.016,2.866,2.866,2.866,2.882,N/A,178,2024-09-10
"NGK30 (May '30)",2.879,-0.016,2.879,2.879,2.879,2.895,N/A,134,2024-09-10
"NGM30 (Jun '30)",3.021,-0.016,3.021,3.021,3.021,3.037,N/A,140,2024-09-10
"NGN30 (Jul '30)",3.178,-0.016,0,3.178,3.178,3.194,0,123,2024-09-10
"NGQ30 (Aug '30)",3.216,-0.016,0,3.216,3.216,3.232,0,136,2024-09-10
"NGU30 (Sep '30)",3.18,-0.016,0,3.18,3.18,3.196,0,122,2024-09-10
"NGV30 (Oct '30)",3.233,-0.016,0,3.233,3.233,3.249,0,115,2024-09-10
"NGX30 (Nov '30)",3.523,-0.016,3.523,3.523,3.523,3.539,N/A,106,2024-09-10
"NGZ30 (Dec '30)",3.923,-0.016,0,3.923,3.923,3.939,0,91,2024-09-10
"NGF31 (Jan '31)",4.197,-0.016,0,4.197,4.197,4.213,0,19,2024-09-10
"NGG31 (Feb '31)",3.939,-0.016,0,3.939,3.939,3.955,0,19,2024-09-10
"NGH31 (Mar '31)",3.248,-0.016,3.248,3.248,3.248,3.264,N/A,32,2024-09-10
"NGJ31 (Apr '31)",2.761,-0.033,2.761,2.761,2.761,2.794,N/A,33,2024-09-10
"NGK31 (May '31)",2.772,-0.033,2.772,2.772,2.772,2.805,N/A,35,2024-09-10
"NGM31 (Jun '31)",2.928,-0.033,2.928,2.928,2.928,2.961,N/A,38,2024-09-10
"NGN31 (Jul '31)",3.102,-0.033,0,3.102,3.102,3.135,0,19,2024-09-10
"NGQ31 (Aug '31)",3.141,-0.033,0,3.141,3.141,3.174,0,19,2024-09-10
"NGU31 (Sep '31)",3.099,-0.033,0,3.099,3.099,3.132,0,19,2024-09-10
"NGV31 (Oct '31)",3.151,-0.033,3.151,3.151,3.151,3.184,N/A,29,2024-09-10
"NGX31 (Nov '31)",3.413,-0.033,3.413,3.413,3.413,3.446,N/A,19,2024-09-10
"NGZ31 (Dec '31)",3.831,-0.033,3.831,3.831,3.831,3.864,N/A,19,2024-09-10
"NGF32 (Jan '32)",4.096,-0.033,4.096,4.096,4.096,4.129,N/A,7,2024-09-10
"NGG32 (Feb '32)",3.836,-0.033,3.836,3.836,3.836,3.869,N/A,7,2024-09-10
"NGH32 (Mar '32)",3.181,0.0020000000000002,3.181,3.181,3.181,3.179,N/A,7,2024-09-10
"NGJ32 (Apr '32)",2.711,0.002,0,2.711,2.711,2.709,0,9,2024-09-10
"NGK32 (May '32)",2.724,0.0020000000000002,2.724,2.724,2.724,2.722,N/A,7,2024-09-10
"NGM32 (Jun '32)",2.875,0.0019999999999998,2.875,2.875,2.875,2.873,N/A,7,2024-09-10
"NGN32 (Jul '32)",3.048,0.0020000000000002,3.048,3.048,3.048,3.046,N/A,7,2024-09-10
"NGQ32 (Aug '32)",3.077,0.0019999999999998,3.077,3.077,3.077,3.075,N/A,7,2024-09-10
"NGU32 (Sep '32)",3.035,0.0020000000000002,3.035,3.035,3.035,3.033,N/A,7,2024-09-10
"NGV32 (Oct '32)",3.079,0.0020000000000002,3.079,3.079,3.079,3.077,N/A,7,2024-09-10
"NGX32 (Nov '32)",3.357,0.0020000000000002,3.357,3.357,3.357,3.355,N/A,7,2024-09-10
"NGZ32 (Dec '32)",3.766,0.002,0,3.766,3.766,3.764,0,8,2024-09-10
"NGF33 (Jan '33)",4.013,0.0019999999999998,4.013,4.013,4.013,4.011,N/A,N/A,2024-09-10
"NGG33 (Feb '33)",3.778,0.0020000000000002,3.778,3.778,3.778,3.776,N/A,N/A,2024-09-10
"NGH33 (Mar '33)",3.128,0.037,3.128,3.128,3.128,3.091,N/A,N/A,2024-09-10
"NGJ33 (Apr '33)",2.703,0.037,2.703,2.703,2.703,2.666,N/A,N/A,2024-09-10
"NGK33 (May '33)",2.681,0.037,2.681,2.681,2.681,2.644,N/A,N/A,2024-09-10
"NGM33 (Jun '33)",2.831,0.037,2.831,2.831,2.831,2.794,N/A,N/A,2024-09-10
"NGN33 (Jul '33)",3.001,0.037,3.001,3.001,3.001,2.964,N/A,N/A,2024-09-10
"NGQ33 (Aug '33)",3.041,0.037,3.041,3.041,3.041,3.004,N/A,N/A,2024-09-10
"NGU33 (Sep '33)",3.056,0.037,3.056,3.056,3.056,3.019,N/A,N/A,2024-09-10
"NGV33 (Oct '33)",3.102,0.037,3.102,3.102,3.102,3.065,N/A,N/A,2024-09-10
"NGX33 (Nov '33)",3.277,0.037,3.277,3.277,3.277,3.24,N/A,N/A,2024-09-10
"NGZ33 (Dec '33)",3.677,0.037,3.677,3.677,3.677,3.64,N/A,N/A,2024-09-10
"NGF34 (Jan '34)",3.902,0.037,0,3.902,3.902,3.865,0,0,2024-09-10
"NGG34 (Feb '34)",3.702,-0.015,0,3.702,3.702,3.717,0,0,2024-09-10
"NGH34 (Mar '34)",3.377,-0.065,0,3.377,3.377,3.442,0,0,2024-09-10
"NGJ34 (Apr '34)",2.977,-0.065,0,2.977,2.977,3.042,0,0,2024-09-10
"NGK34 (May '34)",2.955,-0.065,0,2.955,2.955,3.02,0,0,2024-09-10
"NGM34 (Jun '34)",2.99,-0.065,0,2.99,2.99,3.055,0,0,2024-09-10
"NGN34 (Jul '34)",3.03,-0.065,0,3.03,3.03,3.095,0,0,2024-09-10
"NGQ34 (Aug '34)",3.07,-0.065,0,3.07,3.07,3.135,0,0,2024-09-10
"NGU34 (Sep '34)",3.085,-0.065,3.085,3.085,3.085,3.15,N/A,N/A,2024-09-10
"NGV34 (Oct '34)",3.131,-0.065,3.131,3.131,3.131,3.196,N/A,N/A,2024-09-10
"NGX34 (Nov '34)",3.281,-0.065,3.281,3.281,3.281,3.346,N/A,N/A,2024-09-10
"NGZ34 (Dec '34)",3.531,-0.065,3.531,3.531,3.531,3.596,N/A,N/A,2024-09-10
"NGF35 (Jan '35)",3.731,-0.065,3.731,3.731,3.731,3.796,N/A,N/A,2024-09-10
"NGG35 (Feb '35)",3.631,-0.065,3.631,3.631,3.631,3.696,N/A,N/A,2024-09-10
"NGH35 (Mar '35)",3.461,-0.065,3.461,3.461,3.461,3.526,N/A,N/A,2024-09-10
"NGJ35 (Apr '35)",3.131,-0.065,3.131,3.131,3.131,3.196,N/A,N/A,2024-09-10
"NGK35 (May '35)",3.109,-0.065,3.109,3.109,3.109,3.174,N/A,N/A,2024-09-10
"NGM35 (Jun '35)",3.144,-0.065,3.144,3.144,3.144,3.209,N/A,N/A,2024-09-10
"NGN35 (Jul '35)",3.184,-0.065,3.184,3.184,3.184,3.249,N/A,N/A,2024-09-10
"NGQ35 (Aug '35)",3.224,-0.065,3.224,3.224,3.224,3.289,N/A,N/A,2024-09-10
"NGU35 (Sep '35)",3.239,-0.065,3.239,3.239,3.239,3.304,N/A,N/A,2024-09-10
"NGV35 (Oct '35)",3.285,-0.065,3.285,3.285,3.285,3.35,N/A,N/A,2024-09-10
"NGX35 (Nov '35)",3.357,-0.065,3.357,3.357,3.357,3.422,N/A,N/A,2024-09-10
"NGZ35 (Dec '35)",3.512,-0.065,3.512,3.512,3.512,3.577,N/A,N/A,2024-09-10
"NGF36 (Jan '36)",3.762,-0.065,3.762,3.762,3.762,3.827,N/A,N/A,2024-09-10
"NGG36 (Feb '36)",3.697,-0.065,3.697,3.697,3.697,3.762,N/A,N/A,2024-09-10
"NGH36 (Mar '36)",3.567,-0.065,3.567,3.567,3.567,3.632,N/A,N/A,2024-09-10
"NGJ36 (Apr '36)",3.237,-0.065,3.237,3.237,3.237,3.302,N/A,N/A,2024-09-10
"NGK36 (May '36)",3.215,-0.065,3.215,3.215,3.215,3.28,N/A,N/A,2024-09-10
"NGM36 (Jun '36)",3.25,-0.065,3.25,3.25,3.25,3.315,N/A,N/A,2024-09-10
"NGN36 (Jul '36)",3.29,-0.065,3.29,3.29,3.29,3.355,N/A,N/A,2024-09-10
"NGQ36 (Aug '36)",3.33,-0.065,3.33,3.33,3.33,3.395,N/A,N/A,2024-09-10
"NGU36 (Sep '36)",3.345,-0.065,3.345,3.345,3.345,3.41,N/A,N/A,2024-09-10
"NGV36 (Oct '36)",3.391,-0.065,3.391,3.391,3.391,3.456,N/A,N/A,2024-09-10
"NGX36 (Nov '36)",3.463,-0.065,3.463,3.463,3.463,3.528,N/A,N/A,2024-09-10
"NGZ36 (Dec '36)",3.618,-0.065,3.618,3.618,3.618,3.683,N/A,N/A,2024-09-10
"Downloaded from Barchart.com as of 09-11-2024 12:07am CDT"
